City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,la tuque,47.4334,-72.7824,50.43,51,100,8.75,CA,1635354632
181,saint-joseph,-21.3667,55.6167,71.98,78,42,7.36,RE,1635354633
182,telimele,10.9167,-13.3333,83.66,73,47,2.75,GN,1635354633
183,sabzevar,36.2126,57.6819,49.03,52,30,6.8,IR,1635354563
184,arequipa,-16.3989,-71.535,73.83,12,2,14.5,PE,1635354542
185,trezzano sul naviglio,45.4231,9.0664,61.2,53,0,1.99,IT,1635354633
186,kristiansund,63.1115,7.732,54.25,62,75,11.5,NO,1635354634
187,nara,34.6851,135.8049,60.08,80,0,1.25,JP,1635354634
188,gwadar,25.1216,62.3254,79.03,69,0,8.88,PK,1635354634
189,khasan,42.4308,130.6434,51.69,45,5,21.23,RU,1635354634
190,sakata,38.9167,139.855,60.35,76,47,15.28,JP,1635354635
191,ilulissat,69.2167,-51.1,15.82,48,40,5.75,GL,1635354551
192,college,64.8569,-147.8028,26.55,91,75,4.61,US,1635354635
193,acajutla,13.5928,-89.8275,91.74,76,19,4.7,SV,1635354635
194,svobodnyy,51.4,128.1333,33.4,84,2,7.34,RU,1635354636
195,galbinasi,45.0833,26.9167,51.01,50,1,4.43,RO,1635354636
196,aginskoye,51.1,114.53,35.6,63,20,4.47,RU,1635354636
197,mehamn,71.0357,27.8492,28.31,74,0,9.22,NO,1635354598
198,manaus,-3.1019,-60.025,81.1,89,40,9.22,BR,1635354616
199,thompson,55.7435,-97.8558,41.16,100,90,3.44,CA,1635354637
200,okato,-39.2,173.8833,57.42,98,100,4.43,NZ,1635354637
201,comodoro rivadavia,-45.8667,-67.5,76.86,23,0,29.93,AR,1635354637
202,pasni,25.2631,63.471,78.49,73,0,6.35,PK,1635354637
203,ixtapa,20.7,-105.2,83.43,79,90,2.3,MX,1635354527
204,kommunisticheskiy,61.6789,64.4819,25.79,80,100,8.08,RU,1635354638
205,kieta,-6.2167,155.6333,78.69,86,13,4.9,PG,1635354638
206,laguna,38.421,-121.4238,67.08,83,75,1.01,US,1635354638
207,vila,42.0304,-8.1588,60.33,59,6,3.83,PT,1635354639
208,hereford,52.0568,-2.7148,61.05,62,98,1.01,GB,1635354639
209,iquitos,-3.7481,-73.2472,82.44,74,75,5.75,PE,1635354639
210,vao,-22.6667,167.4833,72.77,83,79,9.64,NC,1635354639
211,oussouye,12.485,-16.5469,84.38,70,87,7.83,SN,1635354640
212,killybegs,54.6333,-8.45,56.91,89,100,8.5,IE,1635354640
213,ha tinh,18.3333,105.9,71.38,93,100,8.95,VN,1635354640
214,nanortalik,60.1432,-45.2371,38.26,59,0,4.47,GL,1635354517
215,goderich,43.7501,-81.7165,58.03,81,96,5.5,CA,1635354641
216,clinton,42.587,-82.9199,53.71,90,90,4.61,US,1635354477
217,salalah,17.0151,54.0924,78.89,78,0,0,OM,1635354506
218,aklavik,68.2191,-135.0107,27.32,93,100,5.5,CA,1635354641
219,port blair,11.6667,92.75,81.01,84,88,8.5,IN,1635354641
220,alice springs,-23.7,133.8833,76.55,44,70,5.75,AU,1635354642
221,chifeng,42.2683,118.9636,44.82,42,0,5.01,CN,1635354642
222,srednekolymsk,67.45,153.6833,-8.28,98,80,2.55,RU,1635354642
223,foki,56.693,54.3499,37,78,100,10.33,RU,1635354642
224,cabedelo,-6.9811,-34.8339,88.47,62,17,16.2,BR,1635354643
225,puerto madryn,-42.7692,-65.0385,75.31,34,46,9.13,AR,1635354643
226,shakawe,-18.3667,21.85,81.46,44,86,10.94,BW,1635354643
227,kampong thum,12.7111,104.8887,74.17,95,100,1.95,KH,1635354643
228,lasa,46.6166,10.7002,50.74,69,3,2.17,IT,1635354644
229,kavieng,-2.5744,150.7967,80.78,80,20,9.55,PG,1635354480
230,ponta do sol,32.6667,-17.1,74.71,66,24,2.66,PT,1635354493
231,tuy hoa,13.0833,109.3,76.86,92,98,4.79,VN,1635354644
232,port lincoln,-34.7333,135.8667,55.49,86,32,10.38,AU,1635354644
233,eyl,7.9803,49.8164,80.55,72,48,10.16,SO,1635354645
234,severobaykalsk,55.65,109.3167,35.42,86,83,2.71,RU,1635354645
235,chapais,49.7834,-74.8492,45.9,46,100,5.84,CA,1635354645
236,maumelle,34.8668,-92.4043,66.22,75,91,4,US,1635354568
237,bajil,15.0584,43.2851,86.5,51,33,8.68,YE,1635354646
238,brae,60.3964,-1.353,53.51,88,80,16.37,GB,1635354646
239,halifax,44.6453,-63.5724,50.47,92,100,8.01,CA,1635354424
240,zeya,53.75,127.2667,31.59,81,10,2.57,RU,1635354646
241,padang,-0.9492,100.3543,77.05,81,54,3.22,ID,1635354646
242,sorland,67.667,12.6934,44.46,88,100,19.64,NO,1635354647
243,clyde river,70.4692,-68.5914,28.65,83,100,4.16,CA,1635354580
244,vanimo,-2.6741,141.3028,79.32,86,99,3.98,PG,1635354647
